time_period,time_identifier,geographic_level,country_code,country_name,characteristic_value,subject,percent_entered,number_of_students,version,year
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & physics & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & chemistry & physics & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & chemistry & physics & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & chemistry & physics & computer science,0,2,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & biology & chemistry & physics & computer science,0,0,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & biology & chemistry & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & biology & chemistry & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & computer science,0,2,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry & physics,0,17,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry & physics,0,24,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry & physics,0,41,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & physics & computer science,0,0,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & chemistry & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & chemistry & physics & computer science,0,16,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & chemistry & physics & computer science,0,17,Revised,2024
202324,Academic year,National,E92000001,England,Female,Biology & chemistry & physics & computer science,0,1,Revised,2024
202324,Academic year,National,E92000001,England,Male,Biology & chemistry & physics & computer science,0,4,Revised,2024
202324,Academic year,National,E92000001,England,All students,Biology & chemistry & physics & computer science,0,5,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & chemistry & computer science,0,0,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & chemistry & computer science,0,3,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & chemistry & computer science,0,3,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & chemistry & physics,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & chemistry & physics,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & chemistry & physics,0,43,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & physics & computer science,0,0,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & physics & computer science,0,2,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & physics & computer science,0,2,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & chemistry & physics & computer science,NA,NA,Revised,2024
