year,time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
2014,201314,Academic year,National,E92000001,England,Final,Law,All students,5,18,42,68,87,97,10351
2015,201415,Academic year,National,E92000001,England,Final,Law,All students,6,19,45,70,88,97,9769
2016,201516,Academic year,National,E92000001,England,Final,Law,All students,4,17,43,70,88,97,10272
2017,201617,Academic year,National,E92000001,England,Final,Law,All students,5,19,47,72,89,97,10542
2018,201718,Academic year,National,E92000001,England,Revised,Law,All students,4,18.1,47.1,73.7,89.9,97.1,10270
2019,201819,Academic year,National,E92000001,England,Revised,Law,All students,4.5,16.7,40.2,67.1,86.2,95.7,10982
2020,201920,Academic year,National,E92000001,England,Final,Law,All students,8.4,26.7,54.8,81.9,94.1,99,11106
2021,202021,Academic year,National,E92000001,England,Final,Law,All students,10.2,31.5,59.3,82.8,94.2,98.9,12680
2022,202122,Academic year,National,E92000001,England,Revised,Law,All students,8.2,25.1,48.8,70.8,87.6,96.5,13580
2023,202223,Academic year,National,E92000001,England,Revised,Law,All students,5,16.8,40.1,64.2,83.5,95.3,13856
2024,202324,Academic year,National,E92000001,England,Revised,Law,All students,4.9,17.1,39.6,63.5,83.2,95.4,14109
2025,202425,Academic year,National,E92000001,England,Provisional,Law,All students,5,17.1,39.8,64.3,84.3,96,14138
1996,199596,Academic year,National,E92000001,England,Final,Law,Female,z,12,24,40,58,73,4118
1997,199697,Academic year,National,E92000001,England,Final,Law,Female,z,11,24,41,59,74,4253
1998,199798,Academic year,National,E92000001,England,Final,Law,Female,z,12,24,42,59,75,4174
1999,199899,Academic year,National,E92000001,England,Final,Law,Female,z,12,27,44,63,76,4317
2000,199900,Academic year,National,E92000001,England,Final,Law,Female,z,12,28,46,63,78,4400
2001,200001,Academic year,National,E92000001,England,Final,Law,Female,z,13,29,47,65,79,4505
2002,200102,Academic year,National,E92000001,England,Final,Law,Female,z,16,36,58,77,92,5114
2003,200203,Academic year,National,E92000001,England,Final,Law,Female,z,20,41,64,83,95,6124
2004,200304,Academic year,National,E92000001,England,Final,Law,Female,z,20,42,65,84,95,7051
2005,200405,Academic year,National,E92000001,England,Final,Law,Female,z,19,42,67,85,95,7526
2006,200506,Academic year,National,E92000001,England,Final,Law,Female,z,22,45,69,87,96,8137
2007,200607,Academic year,National,E92000001,England,Final,Law,Female,z,23,47,70,87,97,8009
2008,200708,Academic year,National,E92000001,England,Final,Law,Female,z,23,47,70,88,97,8470
2009,200809,Academic year,National,E92000001,England,Final,Law,Female,z,23,48,72,88,97,8691
2010,200910,Academic year,National,E92000001,England,Final,Law,Female,6,23,48,72,89,97,8503
2011,201011,Academic year,National,E92000001,England,Final,Law,Female,5,21,45,70,89,98,7979
2012,201112,Academic year,National,E92000001,England,Final,Law,Female,6,21,47,72,90,98,7487
2013,201213,Academic year,National,E92000001,England,Final,Law,Female,5,20,46,72,90,98,7236
2014,201314,Academic year,National,E92000001,England,Final,Law,Female,5,20,45,71,89,98,6585
2015,201415,Academic year,National,E92000001,England,Final,Law,Female,6,21,47,72,89,98,6227
2016,201516,Academic year,National,E92000001,England,Final,Law,Female,5,20,46,72,90,98,6540
2017,201617,Academic year,National,E92000001,England,Final,Law,Female,6,21,50,75,90,98,6841
2018,201718,Academic year,National,E92000001,England,Revised,Law,Female,4.6,20.5,50.6,76.5,91.6,97.8,6673
2019,201819,Academic year,National,E92000001,England,Revised,Law,Female,5,18.9,42.9,69.6,87.5,96.1,7120
2020,201920,Academic year,National,E92000001,England,Final,Law,Female,9.4,29,58.4,84.2,94.9,99.1,7281
2021,202021,Academic year,National,E92000001,England,Final,Law,Female,11.7,35,63.7,85.5,95.2,99,8240
2022,202122,Academic year,National,E92000001,England,Revised,Law,Female,9.2,27.5,51.2,72.6,88.7,96.9,8901
2023,202223,Academic year,National,E92000001,England,Revised,Law,Female,5.5,18.2,41.8,65.8,84.6,95.7,8943
2024,202324,Academic year,National,E92000001,England,Revised,Law,Female,5.6,18.8,41.7,65.6,84.7,95.8,9046
2025,202425,Academic year,National,E92000001,England,Provisional,Law,Female,5.4,18.6,42,66.5,85.5,96.6,9049
1996,199596,Academic year,National,E92000001,England,Final,Law,Male,z,9,20,34,52,67,2899
1997,199697,Academic year,National,E92000001,England,Final,Law,Male,z,12,23,40,56,70,3000
1998,199798,Academic year,National,E92000001,England,Final,Law,Male,z,10,21,37,55,71,2931
1999,199899,Academic year,National,E92000001,England,Final,Law,Male,z,10,23,40,58,74,2900
2000,199900,Academic year,National,E92000001,England,Final,Law,Male,z,9,23,41,58,73,2789
2001,200001,Academic year,National,E92000001,England,Final,Law,Male,z,11,25,43,60,77,2893
2002,200102,Academic year,National,E92000001,England,Final,Law,Male,z,12,30,50,71,88,3392
2003,200203,Academic year,National,E92000001,England,Final,Law,Male,z,14,33,55,77,92,3973
2004,200304,Academic year,National,E92000001,England,Final,Law,Male,z,14,34,57,79,93,4790
2005,200405,Academic year,National,E92000001,England,Final,Law,Male,z,15,34,59,80,94,5125
2006,200506,Academic year,National,E92000001,England,Final,Law,Male,z,17,38,62,82,95,5374
2007,200607,Academic year,National,E92000001,England,Final,Law,Male,z,17,39,64,83,95,5810
2008,200708,Academic year,National,E92000001,England,Final,Law,Male,z,18,40,64,84,96,5728
2009,200809,Academic year,National,E92000001,England,Final,Law,Male,z,18,42,66,85,97,6068
2010,200910,Academic year,National,E92000001,England,Final,Law,Male,4,16,39,65,86,97,5758
2011,201011,Academic year,National,E92000001,England,Final,Law,Male,4,16,39,65,85,97,5153
2012,201112,Academic year,National,E92000001,England,Final,Law,Male,4,14,37,64,86,97,4769
2013,201213,Academic year,National,E92000001,England,Final,Law,Male,3,15,38,65,86,97,4508
2014,201314,Academic year,National,E92000001,England,Final,Law,Male,4,14,37,62,84,96,3766
2015,201415,Academic year,National,E92000001,England,Final,Law,Male,4,15,40,67,87,97,3542
2016,201516,Academic year,National,E92000001,England,Final,Law,Male,3,14,38,65,86,97,3732
2017,201617,Academic year,National,E92000001,England,Final,Law,Male,4,16,42,67,86,96,3701
2018,201718,Academic year,National,E92000001,England,Revised,Law,Male,2.9,13.6,40.6,68.4,86.5,95.9,3597
2019,201819,Academic year,National,E92000001,England,Revised,Law,Male,3.5,12.6,35.2,62.7,83.7,95.2,3862
2020,201920,Academic year,National,E92000001,England,Final,Law,Male,6.4,22.1,48,77.5,92.4,98.8,3825
2021,202021,Academic year,National,E92000001,England,Final,Law,Male,7.5,24.9,51.1,77.6,92.5,98.6,4440
2022,202122,Academic year,National,E92000001,England,Revised,Law,Male,6.2,20.6,44.1,67.3,85.5,95.7,4679
2023,202223,Academic year,National,E92000001,England,Revised,Law,Male,4.1,14.3,37,61.2,81.6,94.6,4913
2024,202324,Academic year,National,E92000001,England,Revised,Law,Male,3.7,14.1,35.7,59.8,80.5,94.6,5063
2025,202425,Academic year,National,E92000001,England,Provisional,Law,Male,4.2,14.5,35.7,60.4,82.1,94.9,5089
2016,201516,Academic year,National,E92000001,England,Final,Maths,All students,19,44,66,82,93,99,79097
2017,201617,Academic year,National,E92000001,England,Final,Maths,All students,19,44,66,82,93,99,81893
2018,201718,Academic year,National,E92000001,England,Revised,Maths,All students,16.8,44.1,66.8,82.7,92.7,98.1,85115
2019,201819,Academic year,National,E92000001,England,Revised,Maths,All students,16.9,41.4,59.2,75.7,88.9,97,82446
2020,201920,Academic year,National,E92000001,England,Final,Maths,All students,23.2,49.3,69.5,85.8,95,99.3,88036
2021,202021,Academic year,National,E92000001,England,Final,Maths,All students,28.3,54.3,72.5,85.7,94,98.8,88966
2022,202122,Academic year,National,E92000001,England,Revised,Maths,All students,23.3,47.9,64,78.8,90.6,97.7,86326
2023,202223,Academic year,National,E92000001,England,Revised,Maths,All students,17.1,41.9,61,76.5,88.6,96.4,87438
2024,202324,Academic year,National,E92000001,England,Revised,Maths,All students,17.4,42.5,61.7,76.8,88.4,96.1,97165
2025,202425,Academic year,National,E92000001,England,Provisional,Maths,All students,17.1,42.1,62,78.7,90.4,96.6,101089
2016,201516,Academic year,National,E92000001,England,Final,Maths,Female,16,42,66,82,93,99,30680
2017,201617,Academic year,National,E92000001,England,Final,Maths,Female,16,43,66,83,93,99,32060
2018,201718,Academic year,National,E92000001,England,Revised,Maths,Female,14.3,42.9,66.8,83.1,93.2,98.4,33607
2019,201819,Academic year,National,E92000001,England,Revised,Maths,Female,14.2,39.4,58.2,75.7,89.1,97.3,31783
2020,201920,Academic year,National,E92000001,England,Final,Maths,Female,22.5,50.9,72.1,87.9,96,99.5,34491
2021,202021,Academic year,National,E92000001,England,Final,Maths,Female,28.3,56.6,75.3,87.9,95.2,99,34396
2022,202122,Academic year,National,E92000001,England,Revised,Maths,Female,21.8,48.2,65.3,80.4,92,98.2,32316
2023,202223,Academic year,National,E92000001,England,Revised,Maths,Female,15,40.5,60.9,77.1,89.2,96.9,32684
2024,202324,Academic year,National,E92000001,England,Revised,Maths,Female,15.4,41.5,62,77.6,89.2,96.5,35932
2025,202425,Academic year,National,E92000001,England,Provisional,Maths,Female,14.6,40.5,61.7,79,90.9,96.9,37615
2016,201516,Academic year,National,E92000001,England,Final,Maths,Male,20,45,67,82,93,99,48417
2017,201617,Academic year,National,E92000001,England,Final,Maths,Male,21,45,66,82,92,99,49833
2018,201718,Academic year,National,E92000001,England,Revised,Maths,Male,18.4,44.9,66.8,82.5,92.4,97.9,51508
2019,201819,Academic year,National,E92000001,England,Revised,Maths,Male,18.6,42.6,59.9,75.6,88.8,96.8,50663
2020,201920,Academic year,National,E92000001,England,Final,Maths,Male,23.6,48.3,67.8,84.5,94.3,99.2,53544
2021,202021,Academic year,National,E92000001,England,Final,Maths,Male,28.2,52.9,70.7,84.3,93.3,98.7,54569
2022,202122,Academic year,National,E92000001,England,Revised,Maths,Male,24.3,47.8,63.3,77.9,89.7,97.4,54009
2023,202223,Academic year,National,E92000001,England,Revised,Maths,Male,18.3,42.7,61,76.2,88.3,96.1,54754
2024,202324,Academic year,National,E92000001,England,Revised,Maths,Male,18.6,43.1,61.5,76.4,87.9,95.9,61220
2025,202425,Academic year,National,E92000001,England,Provisional,Maths,Male,18.5,43.1,62.2,78.5,90,96.4,63461
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,All students,z,10,27,57,82,93,6841
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,All students,z,10,28,56,81,93,8954
1998,199798,Academic year,National,E92000001,England,Final,Media film tv,All students,z,10,26,56,81,94,10805
1999,199899,Academic year,National,E92000001,England,Final,Media film tv,All students,z,9,26,58,83,94,11374
2000,199900,Academic year,National,E92000001,England,Final,Media film tv,All students,z,9,26,56,83,94,12166
2001,200001,Academic year,National,E92000001,England,Final,Media film tv,All students,z,11,29,62,86,95,13656
2002,200102,Academic year,National,E92000001,England,Final,Media film tv,All students,z,11,35,67,90,98,16748
2003,200203,Academic year,National,E92000001,England,Final,Media film tv,All students,z,12,36,67,90,98,19270
2004,200304,Academic year,National,E92000001,England,Final,Media film tv,All students,z,13,39,71,92,98,20990
2005,200405,Academic year,National,E92000001,England,Final,Media film tv,All students,z,12,40,73,93,98,21467
2006,200506,Academic year,National,E92000001,England,Final,Media film tv,All students,z,13,41,74,93,99,22986
2007,200607,Academic year,National,E92000001,England,Final,Media film tv,All students,z,14,43,76,94,99,23313
2008,200708,Academic year,National,E92000001,England,Final,Media film tv,All students,z,13,43,76,94,99,24135
2009,200809,Academic year,National,E92000001,England,Final,Media film tv,All students,z,13,44,77,95,99,25056
2010,200910,Academic year,National,E92000001,England,Final,Media film tv,All students,2,12,42,77,94,99,24228
2011,201011,Academic year,National,E92000001,England,Final,Media film tv,All students,2,11,42,77,95,99,24226
2012,201112,Academic year,National,E92000001,England,Final,Media film tv,All students,1,11,40,77,95,99,22954
2013,201213,Academic year,National,E92000001,England,Final,Media film tv,All students,1,11,42,79,96,99,20800
2014,201314,Academic year,National,E92000001,England,Final,Media film tv,All students,1,10,41,79,96,99,19666
2015,201415,Academic year,National,E92000001,England,Final,Media film tv,All students,1,10,41,78,96,99,19201
2016,201516,Academic year,National,E92000001,England,Final,Media film tv,All students,1,10,40,78,96,100,18843
2017,201617,Academic year,National,E92000001,England,Final,Media film tv,All students,2,11,42,79,96,99,17997
2018,201718,Academic year,National,E92000001,England,Revised,Media film tv,All students,1.7,11.6,41.2,77.6,95.4,99.3,17260
2019,201819,Academic year,National,E92000001,England,Revised,Media film tv,All students,1.3,10.7,44.3,80.2,95.7,99,13938
2020,201920,Academic year,National,E92000001,England,Final,Media film tv,All students,4.6,22,56.9,88.8,98.3,99.7,13746
2021,202021,Academic year,National,E92000001,England,Final,Media film tv,All students,7.1,27.7,61.1,88,97.1,99.4,13052
2022,202122,Academic year,National,E92000001,England,Revised,Media film tv,All students,5.6,22.2,59.2,85.8,96.3,98.9,13774
2023,202223,Academic year,National,E92000001,England,Revised,Media film tv,All students,1.9,12.1,45.2,78.7,94.8,98.9,14250
2024,202324,Academic year,National,E92000001,England,Revised,Media film tv,All students,2,12.4,43.3,76.5,94,98.8,13631
2025,202425,Academic year,National,E92000001,England,Provisional,Media film tv,All students,2.1,14.1,46,78.4,94.9,99.1,14092
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,Female,z,10,29,59,83,94,3814
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,Female,z,11,30,58,83,94,5027
1998,199798,Academic year,National,E92000001,England,Final,Media film tv,Female,z,11,28,59,84,95,6326
1999,199899,Academic year,National,E92000001,England,Final,Media film tv,Female,z,9,28,61,86,96,6718
2000,199900,Academic year,National,E92000001,England,Final,Media film tv,Female,z,10,29,60,85,96,7158
2001,200001,Academic year,National,E92000001,England,Final,Media film tv,Female,z,12,31,66,88,96,7973
2002,200102,Academic year,National,E92000001,England,Final,Media film tv,Female,z,13,39,71,92,98,9715
2003,200203,Academic year,National,E92000001,England,Final,Media film tv,Female,z,14,40,72,92,99,11160
2004,200304,Academic year,National,E92000001,England,Final,Media film tv,Female,z,15,44,75,94,99,11924
2005,200405,Academic year,National,E92000001,England,Final,Media film tv,Female,z,14,44,77,94,99,12244
2006,200506,Academic year,National,E92000001,England,Final,Media film tv,Female,z,15,45,78,95,99,12979
2007,200607,Academic year,National,E92000001,England,Final,Media film tv,Female,z,16,48,80,95,99,13141
2008,200708,Academic year,National,E92000001,England,Final,Media film tv,Female,z,16,48,81,96,99,13375
2009,200809,Academic year,National,E92000001,England,Final,Media film tv,Female,z,15,48,81,96,99,14037
2010,200910,Academic year,National,E92000001,England,Final,Media film tv,Female,2,14,47,81,96,99,13545
2011,201011,Academic year,National,E92000001,England,Final,Media film tv,Female,2,14,47,82,96,99,13680
2012,201112,Academic year,National,E92000001,England,Final,Media film tv,Female,2,13,46,82,97,100,13143
2013,201213,Academic year,National,E92000001,England,Final,Media film tv,Female,2,13,49,84,97,99,11996
2014,201314,Academic year,National,E92000001,England,Final,Media film tv,Female,2,13,48,84,97,100,11282
2015,201415,Academic year,National,E92000001,England,Final,Media film tv,Female,2,13,47,83,97,100,11245
2016,201516,Academic year,National,E92000001,England,Final,Media film tv,Female,1,12,47,84,98,100,10840
2017,201617,Academic year,National,E92000001,England,Final,Media film tv,Female,2,14,49,84,97,100,10461
2018,201718,Academic year,National,E92000001,England,Revised,Media film tv,Female,2.1,15,49.2,83.2,97,99.6,9896
2019,201819,Academic year,National,E92000001,England,Revised,Media film tv,Female,1.7,13.4,50.7,84.8,97.2,99.5,7828
2020,201920,Academic year,National,E92000001,England,Final,Media film tv,Female,5.9,27.3,64.4,92.2,98.9,99.7,7832
2021,202021,Academic year,National,E92000001,England,Final,Media film tv,Female,9.5,34.6,69.1,91.8,98.1,99.5,7557
2022,202122,Academic year,National,E92000001,England,Revised,Media film tv,Female,7.6,27.5,66.9,90.1,97.6,99.3,7957
2023,202223,Academic year,National,E92000001,England,Revised,Media film tv,Female,2.7,16.3,53.8,84.7,96.4,99.2,8194
2024,202324,Academic year,National,E92000001,England,Revised,Media film tv,Female,2.8,16.1,50.4,82.3,96.1,99.3,7943
2025,202425,Academic year,National,E92000001,England,Provisional,Media film tv,Female,2.8,17.7,53.1,84,96.6,99.5,8689
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,Male,z,9,25,54,80,92,3027
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,Male,z,9,25,54,78,92,3927
1998,199798,Academic year,National,E92000001,England,Final,Media film tv,Male,z,8,22,51,78,92,4479
1999,199899,Academic year,National,E92000001,England,Final,Media film tv,Male,z,9,24,52,78,92,4656
2000,199900,Academic year,National,E92000001,England,Final,Media film tv,Male,z,8,22,51,79,93,5008
2001,200001,Academic year,National,E92000001,England,Final,Media film tv,Male,z,10,26,57,83,94,5683
2002,200102,Academic year,National,E92000001,England,Final,Media film tv,Male,z,8,29,62,87,97,7033
2003,200203,Academic year,National,E92000001,England,Final,Media film tv,Male,z,9,30,62,88,98,8110
2004,200304,Academic year,National,E92000001,England,Final,Media film tv,Male,z,10,32,65,90,98,9066
2005,200405,Academic year,National,E92000001,England,Final,Media film tv,Male,z,10,34,67,90,98,9223
2006,200506,Academic year,National,E92000001,England,Final,Media film tv,Male,z,10,35,68,91,98,10007
2007,200607,Academic year,National,E92000001,England,Final,Media film tv,Male,z,11,37,71,92,99,10172
2008,200708,Academic year,National,E92000001,England,Final,Media film tv,Male,z,10,37,71,92,99,10760
2009,200809,Academic year,National,E92000001,England,Final,Media film tv,Male,z,11,38,73,93,99,11019
2010,200910,Academic year,National,E92000001,England,Final,Media film tv,Male,1,9,36,71,93,99,10683
2011,201011,Academic year,National,E92000001,England,Final,Media film tv,Male,1,8,34,71,93,99,10546
2012,201112,Academic year,National,E92000001,England,Final,Media film tv,Male,1,8,32,70,94,99,9811
2013,201213,Academic year,National,E92000001,England,Final,Media film tv,Male,1,7,32,72,94,99,8804
2014,201314,Academic year,National,E92000001,England,Final,Media film tv,Male,1,7,33,72,94,99,8384
2015,201415,Academic year,National,E92000001,England,Final,Media film tv,Male,1,7,32,71,94,99,7956
2016,201516,Academic year,National,E92000001,England,Final,Media film tv,Male,1,6,31,71,94,100,8003
2017,201617,Academic year,National,E92000001,England,Final,Media film tv,Male,1,8,33,72,94,99,7536
2018,201718,Academic year,National,E92000001,England,Revised,Media film tv,Male,1,7,30.5,70,93.2,99,7364
2019,201819,Academic year,National,E92000001,England,Revised,Media film tv,Male,0.8,7.2,36,74.3,93.9,98.5,6110
2020,201920,Academic year,National,E92000001,England,Final,Media film tv,Male,2.9,14.9,46.9,84.3,97.6,99.7,5914
2021,202021,Academic year,National,E92000001,England,Final,Media film tv,Male,3.8,18.3,50,82.7,95.6,99.2,5495
2022,202122,Academic year,National,E92000001,England,Revised,Media film tv,Male,2.9,14.8,48.5,79.9,94.5,98.5,5817
2023,202223,Academic year,National,E92000001,England,Revised,Media film tv,Male,0.8,6.6,33.6,70.5,92.6,98.6,6056
2024,202324,Academic year,National,E92000001,England,Revised,Media film tv,Male,0.9,7.3,33.4,68.3,91.2,98.1,5688
2025,202425,Academic year,National,E92000001,England,Provisional,Media film tv,Male,1.1,8.2,34.4,69.4,92.2,98.6,5403
1996,199596,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,28,50,69,81,89,3435
1997,199697,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,29,53,71,82,89,3473
1998,199798,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,33,59,76,87,93,3457
1999,199899,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,35,60,77,88,93,3499
2000,199900,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,37,62,79,88,93,3660
2001,200001,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,42,68,85,92,96,3409
2002,200102,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,45,73,88,94,97,3860
2003,200203,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,49,75,89,94,97,3999
2004,200304,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,45,75,88,94,97,4279
2005,200405,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,44,73,89,94,97,4534
2006,200506,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,46,76,89,94,97,5084
2007,200607,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,49,79,91,95,98,5119
2008,200708,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,50,79,91,96,98,5530
2009,200809,Academic year,National,E92000001,England,Final,Other modern languages,All students,z,49,80,91,96,98,6090
2010,200910,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,53,81,91,95,98,5912
2011,201011,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,55,82,93,97,99,6799
2012,201112,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,54,82,93,97,99,7099
2013,201213,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,51,81,92,96,99,7084
2014,201314,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,53,81,93,97,99,7066
2015,201415,Academic year,National,E92000001,England,Final,Other modern languages,All students,15,54,82,93,97,99,7510
2016,201516,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,52,81,93,97,99,7436
2017,201617,Academic year,National,E92000001,England,Final,Other modern languages,All students,14,51,82,93,97,99,7359
2018,201718,Academic year,National,E92000001,England,Revised,Other modern languages,All students,13.9,52.1,81.4,93.4,97.3,98.7,7842
2019,201819,Academic year,National,E92000001,England,Revised,Other modern languages,All students,17.7,52.1,78.7,90.2,95.4,97.6,6618
2020,201920,Academic year,National,E92000001,England,Final,Other modern languages,All students,32.6,73.7,90.5,96.4,97.7,98,4429
2021,202021,Academic year,National,E92000001,England,Final,Other modern languages,All students,51.6,82.4,94.1,97.7,98.4,98.6,4440
2022,202122,Academic year,National,E92000001,England,Revised,Other modern languages,All students,39.2,71.5,88.1,93.9,96.4,97.7,4690
2023,202223,Academic year,National,E92000001,England,Revised,Other modern languages,All students,23.1,60.3,83.4,92.1,95.8,97.6,5074
2024,202324,Academic year,National,E92000001,England,Revised,Other modern languages,All students,38.6,68.1,86.2,93.4,96.5,97.9,5538
2025,202425,Academic year,National,E92000001,England,Provisional,Other modern languages,All students,40.6,70.1,86.4,93.6,96.8,98,5792
1996,199596,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,28,52,72,85,92,1937
1997,199697,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,29,54,72,84,91,2025
1998,199798,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,35,61,78,89,94,1894
1999,199899,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,38,63,80,90,95,1966
2000,199900,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,40,67,83,92,96,2076
2001,200001,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,46,70,86,93,96,1881
2002,200102,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,47,75,90,95,97,2178
2003,200203,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,52,78,90,95,97,2281
2004,200304,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,48,77,90,96,97,2464
2005,200405,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,46,76,90,94,97,2575
2006,200506,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,50,78,89,94,97,2875
2007,200607,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,52,80,92,96,98,2884
2008,200708,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,52,80,91,96,99,3159
2009,200809,Academic year,National,E92000001,England,Final,Other modern languages,Female,z,52,81,92,96,98,3453
2010,200910,Academic year,National,E92000001,England,Final,Other modern languages,Female,14,56,82,92,96,98,3383
2011,201011,Academic year,National,E92000001,England,Final,Other modern languages,Female,15,58,83,93,97,99,3886
2012,201112,Academic year,National,E92000001,England,Final,Other modern languages,Female,15,57,84,94,97,99,4081
2013,201213,Academic year,National,E92000001,England,Final,Other modern languages,Female,15,54,82,93,97,99,4114
2014,201314,Academic year,National,E92000001,England,Final,Other modern languages,Female,16,56,82,93,97,99,4138
2015,201415,Academic year,National,E92000001,England,Final,Other modern languages,Female,17,56,83,93,97,99,4415
2016,201516,Academic year,National,E92000001,England,Final,Other modern languages,Female,15,55,83,94,98,99,4357
2017,201617,Academic year,National,E92000001,England,Final,Other modern languages,Female,16,55,84,94,98,99,4302
2018,201718,Academic year,National,E92000001,England,Revised,Other modern languages,Female,15.5,56.3,84,94.4,97.8,99.1,4537
2019,201819,Academic year,National,E92000001,England,Revised,Other modern languages,Female,20.4,55.4,80.8,91.2,96,98,3888
2020,201920,Academic year,National,E92000001,England,Final,Other modern languages,Female,35.2,75.8,90.7,96,97.4,97.9,2571
2021,202021,Academic year,National,E92000001,England,Final,Other modern languages,Female,53.6,83.7,94.7,97.9,98.4,98.6,2631
2022,202122,Academic year,National,E92000001,England,Revised,Other modern languages,Female,40.9,73.3,88.5,94.1,96.6,97.7,2737
2023,202223,Academic year,National,E92000001,England,Revised,Other modern languages,Female,25.3,62.9,85.1,92.4,95.7,97.5,3033
2024,202324,Academic year,National,E92000001,England,Revised,Other modern languages,Female,41,71.2,86.9,94,96.9,98.3,3209
2025,202425,Academic year,National,E92000001,England,Provisional,Other modern languages,Female,42.5,72.1,86.8,93.9,96.9,98.2,3391
1996,199596,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,28,48,64,76,86,1498
1997,199697,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,29,52,69,80,87,1448
1998,199798,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,30,56,74,85,91,1563
1999,199899,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,31,55,74,85,92,1533
2000,199900,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,33,56,72,83,89,1584
2001,200001,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,38,65,84,91,95,1528
2002,200102,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,42,69,86,93,96,1682
2003,200203,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,45,73,87,93,96,1718
2004,200304,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,40,71,86,93,96,1815
2005,200405,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,41,70,87,94,97,1959
2006,200506,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,41,73,89,94,96,2209
2007,200607,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,45,77,90,95,97,2235
2008,200708,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,46,78,90,95,98,2371
2009,200809,Academic year,National,E92000001,England,Final,Other modern languages,Male,z,46,79,91,95,98,2637
2010,200910,Academic year,National,E92000001,England,Final,Other modern languages,Male,14,50,80,91,95,97,2529
2011,201011,Academic year,National,E92000001,England,Final,Other modern languages,Male,13,51,80,92,97,99,2913
2012,201112,Academic year,National,E92000001,England,Final,Other modern languages,Male,11,49,80,92,97,98,3018
2013,201213,Academic year,National,E92000001,England,Final,Other modern languages,Male,12,46,79,92,96,98,2970
2014,201314,Academic year,National,E92000001,England,Final,Other modern languages,Male,12,48,80,92,96,98,2928
2015,201415,Academic year,National,E92000001,England,Final,Other modern languages,Male,14,50,80,92,97,99,3095
2016,201516,Academic year,National,E92000001,England,Final,Other modern languages,Male,12,47,78,91,96,99,3079
2017,201617,Academic year,National,E92000001,England,Final,Other modern languages,Male,12,46,79,93,97,99,3057
2018,201718,Academic year,National,E92000001,England,Revised,Other modern languages,Male,11.7,46.4,77.9,92,96.7,98.3,3305
2019,201819,Academic year,National,E92000001,England,Revised,Other modern languages,Male,13.9,47.5,75.6,88.8,94.5,96.9,2729
