time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202223,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Male,17998,42.0406,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Male,57,23.75,NA,D+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Male,14485,33.3836,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Male,9161,28.4568,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Male,14307,33.6052,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Male,9101,29.2762,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Male,167,26.4526,NA,C-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Male,950,25.5996,NA,C-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,All students,57469,32.4598,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,All students,36220,42.534,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,234890,35.9367,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,All students,292201,35.289,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,All students,198613,34.6264,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,255992,34.1598,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,All students,135998,35.33,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,All students,3785,32.4468,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,All students,5527,36.8283,NA,B-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,All students,36134,42.5571,NA,B+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,All students,86,24.4444,NA,D+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,All students,31494,34.1944,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,All students,23441,29.2957,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,All students,34028,34.6133,NA,C+, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,All students,19655,30.255,NA,C, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,All students,292,28.0648,NA,C-, ,NA,2023
202223,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,All students,1392,25.467,NA,C-, ,NA,2023
202122,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Female,32442,37.0018,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Female,17072,46.4418,NA,A-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,123695,40.145,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Female,156137,39.5202,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Female,106605,39.0472,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,139047,38.5856,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Female,73791,39.8071,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Female,1458,36.3657,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Female,2961,40.075,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Female,17051,46.453,NA,A-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Female,21,28.8889,NA,C, ,NA,2022
