year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2020,201920,All independent schools,All independent schools,All students,34964,46.564,A-,Final,Alevel
2020,201920,All schools,All schools,All students,215412,40.3462,B,Final,Alevel
2020,201920,All schools and FE sector colleges,All Institutions,All students,272015,39.6418,B,Final,Alevel
2020,201920,All state-funded schools,All state-funded schools,All students,180411,39.0667,B,Final,Alevel
2020,201920,All state-funded schools and colleges,All state-funded,All students,237220,38.5477,B,Final,Alevel
2020,201920,Converter academies - mainstream,All state-funded schools,All students,123257,39.5631,B,Final,Alevel
2020,201920,Free schools,All state-funded schools,All students,1903,37.1087,B-,Final,Alevel
2020,201920,Free schools 16-19,All state-funded schools,All students,3219,41.247,B,Final,Alevel
2020,201920,Independent schools,All independent schools,All students,34913,46.5721,A-,Final,Alevel
2020,201920,Independent special schools,All independent schools,All students,51,36.4557,B-,Final,Alevel
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,32009,38.6225,B,Final,Alevel
2020,201920,Other FE sector colleges,All FE sector colleges,All students,23350,34.1477,C+,Final,Alevel
2020,201920,Sixth form colleges,All FE sector colleges,All students,34696,38.3928,B,Final,Alevel
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,18121,36.2132,B-,Final,Alevel
2020,201920,Studio schools,All state-funded schools,All students,271,36.762,B-,Final,Alevel
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,1195,33.5746,C+,Final,Alevel
2019,201819,All FE sector colleges,All FE sector colleges,All students,63507,31.9193,C+,Revised,Alevel
2019,201819,All independent schools,All independent schools,All students,35751,41.2441,B,Revised,Alevel
2019,201819,All schools,All schools,All students,224966,34.4838,C+,Revised,Alevel
2019,201819,All schools and FE sector colleges,All Institutions,All students,283532,34.0076,C+,Revised,Alevel
2019,201819,All state-funded schools,All state-funded schools,All students,189176,33.091,C+,Revised,Alevel
2019,201819,All state-funded schools and colleges,All state-funded,All students,247994,32.8699,C+,Revised,Alevel
2019,201819,Converter academies - mainstream,All state-funded schools,All students,125612,33.9692,C+,Revised,Alevel
2019,201819,Free schools,All state-funded schools,All students,1494,29.7824,C,Revised,Alevel
2019,201819,Free schools 16-19,All state-funded schools,All students,2930,38.1191,B-,Revised,Alevel
2019,201819,Independent schools,All independent schools,All students,35705,41.2544,B,Revised,Alevel
2019,201819,Independent special schools,All independent schools,All students,46,26.383,C-,Revised,Alevel
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,37286,32.2487,C+,Revised,Alevel
2019,201819,Other FE sector colleges,All FE sector colleges,All students,23312,28.5719,C,Revised,Alevel
2019,201819,Sixth form colleges,All FE sector colleges,All students,40195,33.7607,C+,Revised,Alevel
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,19777,28.3628,C,Revised,Alevel
2019,201819,Studio schools,All state-funded schools,All students,351,25.3669,C-,Revised,Alevel
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,1283,23.0648,D+,Revised,Alevel
2018,201718,All FE sector colleges,All FE sector colleges,All students,76552,31.1282,C,Revised,Alevel
2018,201718,All independent schools,All independent schools,All students,36532,41.3096,B,Revised,Alevel
2018,201718,All schools,All schools,All students,232035,33.8655,C+,Revised,Alevel
2018,201718,All schools and FE sector colleges,All Institutions,All students,299420,33.3325,C+,Revised,Alevel
2018,201718,All state-funded schools,All state-funded schools,All students,195454,32.3509,C+,Revised,Alevel
2018,201718,All state-funded schools and colleges,All state-funded,All students,263436,32.12,C+,Revised,Alevel
2018,201718,Converter academies - mainstream,All state-funded schools,All students,125956,33.3089,C+,Revised,Alevel
2018,201718,Free schools,All state-funded schools,All students,1094,29.5696,C,Revised,Alevel
2018,201718,Free schools 16-19,All state-funded schools,All students,1746,36.5293,B-,Revised,Alevel
2018,201718,Independent schools,All independent schools,All students,36470,41.3246,B,Revised,Alevel
2018,201718,Independent special schools,All independent schools,All students,62,26.2085,C-,Revised,Alevel
2018,201718,LA maintained mainstream schools,All state-funded schools,All students,44273,31.4629,C,Revised,Alevel
2018,201718,Other FE sector colleges,All FE sector colleges,All students,26517,28.0642,C-,Revised,Alevel
2018,201718,Sixth form colleges,All FE sector colleges,All students,50035,32.6815,C+,Revised,Alevel
2018,201718,Sponsored academies - mainstream,All state-funded schools,All students,20082,27.7579,C-,Revised,Alevel
2018,201718,Studio schools,All state-funded schools,All students,366,21.6079,D,Revised,Alevel
2018,201718,University technical colleges (UTCs),All state-funded schools,All students,1501,20.1919,D,Revised,Alevel
2017,201617,All FE sector colleges,All FE sector colleges,All students,91729,30.03,C,Revised,Alevel
2017,201617,All independent schools,All independent schools,All students,38168,40.69,B,Revised,Alevel
2017,201617,All schools,All schools,All students,235654,33.07,C+,Revised,Alevel
2017,201617,All schools and FE sector colleges,All Institutions,All students,316202,32.39,C+,Revised,Alevel
2017,201617,All state-funded schools,All state-funded schools,All students,197423,31.45,C,Revised,Alevel
2017,201617,All state-funded schools and colleges,All state-funded,All students,278897,31.13,C,Revised,Alevel
2017,201617,Converter academies - mainstream,All state-funded schools,All students,119639,32.55,C+,Revised,Alevel
2017,201617,Free schools,All state-funded schools,All students,947,28.6,C,Revised,Alevel
2017,201617,Free schools 16-19,All state-funded schools,All students,1654,34.94,C+,Revised,Alevel
2017,201617,Independent schools,All independent schools,All students,38110,40.7,B,Revised,Alevel
2017,201617,Independent special schools,All independent schools,All students,58,26.44,C-,Revised,Alevel
2017,201617,LA maintained mainstream schools,All state-funded schools,All students,51824,30.38,C,Revised,Alevel
2017,201617,Other FE sector colleges,All FE sector colleges,All students,28120,26.99,C-,Revised,Alevel
2017,201617,Sixth form colleges,All FE sector colleges,All students,63609,31.24,C,Revised,Alevel
2017,201617,Sponsored academies - mainstream,All state-funded schools,All students,21029,27,C-,Revised,Alevel
2017,201617,Studio schools,All state-funded schools,All students,349,23.41,D+,Revised,Alevel
2017,201617,University technical colleges (UTCs),All state-funded schools,All students,1525,21.16,D,Revised,Alevel
2016,201516,All FE sector colleges,All FE sector colleges,All students,94459,29.21,C,Revised,Alevel
2016,201516,All independent schools,All independent schools,All students,37867,40.76,B,Revised,Alevel
2016,201516,All schools,All schools,All students,239749,32.58,C+,Revised,Alevel
2016,201516,All schools and FE sector colleges,All Institutions,All students,323273,31.79,C+,Revised,Alevel
2016,201516,All state-funded schools,All state-funded schools,All students,201871,30.84,C,Revised,Alevel
2016,201516,All state-funded schools and colleges,All state-funded,All students,286399,30.44,C,Revised,Alevel
2016,201516,Converter academies - mainstream,All state-funded schools,All students,118274,32.07,C+,Revised,Alevel
2016,201516,Free schools,All state-funded schools,All students,602,26.23,C-,Revised,Alevel
2016,201516,Free schools 16-19,All state-funded schools,All students,1100,33.89,C+,Revised,Alevel
2016,201516,Independent schools,All independent schools,All students,37744,40.79,B,Revised,Alevel
2016,201516,Independent special schools,All independent schools,All students,123,24.73,D+,Revised,Alevel
2016,201516,LA maintained mainstream schools,All state-funded schools,All students,58737,29.63,C,Revised,Alevel
2016,201516,Other FE sector colleges,All FE sector colleges,All students,30206,26.28,C-,Revised,Alevel
2016,201516,Sixth form colleges,All FE sector colleges,All students,64253,30.4,C,Revised,Alevel
2016,201516,Sponsored academies - mainstream,All state-funded schools,All students,21259,26.18,C-,Revised,Alevel
2016,201516,Studio schools,All state-funded schools,All students,292,24.73,D+,Revised,Alevel
2016,201516,University technical colleges (UTCs),All state-funded schools,All students,1059,20.22,D,Revised,Alevel
2022,202122,All FE sector colleges,All FE sector colleges,All students,49574,30.4352,Dist-,Revised,Applied general
2022,202122,All independent schools,All independent schools,All students,2178,36.5597,Dist,Revised,Applied general
2022,202122,All schools,All schools,All students,70282,33.4043,Dist,Revised,Applied general
2022,202122,All schools and FE sector colleges,All Institutions,All students,119853,31.9803,Dist-,Revised,Applied general
2022,202122,All state-funded schools,All state-funded schools,All students,68095,33.3124,Dist-,Revised,Applied general
2022,202122,All state-funded schools and colleges,All state-funded,All students,117666,31.9117,Dist-,Revised,Applied general
2022,202122,Converter academies - mainstream,All state-funded schools,All students,40418,33.434,Dist,Revised,Applied general
2022,202122,Free schools,All state-funded schools,All students,499,32.8516,Dist-,Revised,Applied general
2022,202122,Free schools 16-19,All state-funded schools,All students,1760,35.0507,Dist,Revised,Applied general
2022,202122,Independent schools,All independent schools,All students,2161,36.601,Dist,Revised,Applied general
2022,202122,Independent special schools,All independent schools,All students,17,30.1111,Dist-,Revised,Applied general
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,11908,33.1311,Dist-,Revised,Applied general
2022,202122,Other FE sector colleges,All FE sector colleges,All students,32037,29.0468,Merit+,Revised,Applied general
2022,202122,Sixth form colleges,All FE sector colleges,All students,17537,33.6998,Dist,Revised,Applied general
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,11978,32.9367,Dist-,Revised,Applied general
2022,202122,Studio schools,All state-funded schools,All students,380,30.1288,Dist-,Revised,Applied general
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,985,32.6178,Dist-,Revised,Applied general
2021,202021,All FE sector colleges,All FE sector colleges,All students,30167,30.0765,Dist-,Final,Applied general
2021,202021,All independent schools,All independent schools,All students,1940,35.8023,Dist,Final,Applied general
2021,202021,All schools,All schools,All students,60116,34.1914,Dist,Final,Applied general
2021,202021,All schools and FE sector colleges,All Institutions,All students,89784,32.6932,Dist-,Final,Applied general
2021,202021,All state-funded schools,All state-funded schools,All students,58167,34.1437,Dist,Final,Applied general
2021,202021,All state-funded schools and colleges,All state-funded,All students,87850,32.6349,Dist-,Final,Applied general
2021,202021,Converter academies - mainstream,All state-funded schools,All students,34112,34.2684,Dist,Final,Applied general
2021,202021,Free schools,All state-funded schools,All students,392,33.5584,Dist,Final,Applied general
2021,202021,Free schools 16-19,All state-funded schools,All students,831,35.5849,Dist,Final,Applied general
2021,202021,Independent schools,All independent schools,All students,1927,35.8126,Dist,Final,Applied general
2021,202021,Independent special schools,All independent schools,All students,13,33.4615,Dist,Final,Applied general
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,10789,33.8868,Dist,Final,Applied general
2021,202021,Other FE sector colleges,All FE sector colleges,All students,21466,29.1604,Merit+,Final,Applied general
2021,202021,Sixth form colleges,All FE sector colleges,All students,8701,33.4737,Dist,Final,Applied general
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,10718,34.1113,Dist,Final,Applied general
2021,202021,Studio schools,All state-funded schools,All students,333,31.6264,Dist-,Final,Applied general
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,861,32.6119,Dist-,Final,Applied general
2020,201920,All FE sector colleges,All FE sector colleges,All students,26254,28.2068,Merit+,Final,Applied general
2020,201920,All independent schools,All independent schools,All students,1545,33.2338,Dist-,Final,Applied general
2020,201920,All schools,All schools,All students,54269,32.7572,Dist-,Final,Applied general
2020,201920,All schools and FE sector colleges,All Institutions,All students,79374,31.2518,Dist-,Final,Applied general
2020,201920,All state-funded schools,All state-funded schools,All students,52710,32.7454,Dist-,Final,Applied general
2020,201920,All state-funded schools and colleges,All state-funded,All students,77818,31.2163,Dist-,Final,Applied general
2020,201920,Converter academies - mainstream,All state-funded schools,All students,30574,32.5744,Dist-,Final,Applied general
2020,201920,Free schools,All state-funded schools,All students,223,32.1583,Dist-,Final,Applied general
2020,201920,Free schools 16-19,All state-funded schools,All students,480,31.9017,Dist-,Final,Applied general
2020,201920,Independent schools,All independent schools,All students,1526,33.3136,Dist-,Final,Applied general
2020,201920,Independent special schools,All independent schools,All students,19,23.9024,Merit,Final,Applied general
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,10188,32.4879,Dist-,Final,Applied general
2020,201920,Other FE sector colleges,All FE sector colleges,All students,18888,27.3264,Merit+,Final,Applied general
2020,201920,Sixth form colleges,All FE sector colleges,All students,7366,31.4823,Dist-,Final,Applied general
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,10065,33.5769,Dist,Final,Applied general
2020,201920,Studio schools,All state-funded schools,All students,320,31.8996,Dist-,Final,Applied general
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,701,30.8703,Dist-,Final,Applied general
2019,201819,All FE sector colleges,All FE sector colleges,All students,21219,27.195,Merit+,Revised,Applied general
2019,201819,All independent schools,All independent schools,All students,1054,30.9977,Dist-,Revised,Applied general
2019,201819,All schools,All schools,All students,48340,29.7195,Merit+,Revised,Applied general
2019,201819,All schools and FE sector colleges,All Institutions,All students,68772,28.911,Merit+,Revised,Applied general
2019,201819,All state-funded schools,All state-funded schools,All students,47276,29.698,Merit+,Revised,Applied general
2019,201819,All state-funded schools and colleges,All state-funded,All students,67709,28.8869,Merit+,Revised,Applied general
2019,201819,Converter academies - mainstream,All state-funded schools,All students,25474,29.8494,Merit+,Revised,Applied general
2019,201819,Free schools,All state-funded schools,All students,78,29.5413,Merit+,Revised,Applied general
2019,201819,Free schools 16-19,All state-funded schools,All students,269,31.3295,Dist-,Revised,Applied general
2019,201819,Independent schools,All independent schools,All students,1046,30.9893,Dist-,Revised,Applied general
2019,201819,Independent special schools,All independent schools,All students,8,33.0435,Dist-,Revised,Applied general
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,10622,29.1992,Merit+,Revised,Applied general
2019,201819,Other FE sector colleges,All FE sector colleges,All students,14643,26.471,Merit,Revised,Applied general
2019,201819,Sixth form colleges,All FE sector colleges,All students,6576,29.5662,Merit+,Revised,Applied general
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,9676,29.7545,Merit+,Revised,Applied general
2019,201819,Studio schools,All state-funded schools,All students,311,27.556,Merit+,Revised,Applied general
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,728,30.4838,Dist-,Revised,Applied general
2018,201718,All FE sector colleges,All FE sector colleges,All students,10667,26.2524,Merit,Revised,Applied general
2018,201718,All independent schools,All independent schools,All students,551,30.4593,Dist-,Revised,Applied general
2018,201718,All schools,All schools,All students,35335,29.1032,Merit+,Revised,Applied general
2018,201718,All schools and FE sector colleges,All Institutions,All students,45797,28.4515,Merit+,Revised,Applied general
2018,201718,All state-funded schools,All state-funded schools,All students,34782,29.0862,Merit+,Revised,Applied general
2018,201718,All state-funded schools and colleges,All state-funded,All students,45245,28.4322,Merit+,Revised,Applied general
2018,201718,Converter academies - mainstream,All state-funded schools,All students,17422,29.1985,Merit+,Revised,Applied general
2018,201718,Free schools,All state-funded schools,All students,77,29.8247,Merit+,Revised,Applied general
2018,201718,Free schools 16-19,All state-funded schools,All students,80,33.524,Dist,Revised,Applied general
2018,201718,Independent schools,All independent schools,All students,544,30.4283,Dist-,Revised,Applied general
2018,201718,Independent special schools,All independent schools,All students,7,32.7027,Dist-,Revised,Applied general
2018,201718,LA maintained mainstream schools,All state-funded schools,All students,8813,28.9871,Merit+,Revised,Applied general
2018,201718,Other FE sector colleges,All FE sector colleges,All students,6175,25.1861,Merit,Revised,Applied general
2018,201718,Sixth form colleges,All FE sector colleges,All students,4492,28.415,Merit+,Revised,Applied general
2018,201718,Sponsored academies - mainstream,All state-funded schools,All students,7510,28.8449,Merit+,Revised,Applied general
2018,201718,Studio schools,All state-funded schools,All students,267,29.265,Merit+,Revised,Applied general
2018,201718,University technical colleges (UTCs),All state-funded schools,All students,537,29.9385,Merit+,Revised,Applied general
2017,201617,All FE sector colleges,All FE sector colleges,All students,75637,33.53,Dist,Revised,Applied general
2017,201617,Other FE sector colleges,All FE sector colleges,All students,54300,31.97,Dist-,Revised,Applied general
2017,201617,Sixth form colleges,All FE sector colleges,All students,21337,38.64,Dist+,Revised,Applied general
2017,201617,All independent schools,All independent schools,All students,1419,39.31,Dist+,Revised,Applied general
2017,201617,Independent schools,All independent schools,All students,1397,39.34,Dist+,Revised,Applied general
2017,201617,Independent special schools,All independent schools,All students,22,36.73,Dist+,Revised,Applied general
2017,201617,All schools,All schools,All students,50864,39.59,Dist+,Revised,Applied general
2017,201617,All schools and FE sector colleges,All Institutions,All students,123715,35.72,Dist,Revised,Applied general
2017,201617,All state-funded schools,All state-funded schools,All students,49424,39.6,Dist+,Revised,Applied general
2017,201617,Converter academies - mainstream,All state-funded schools,All students,22241,39.9,Dist+,Revised,Applied general
2017,201617,Free schools,All state-funded schools,All students,146,38.28,Dist+,Revised,Applied general
2017,201617,Free schools 16-19,All state-funded schools,All students,385,34.92,Dist,Revised,Applied general
2017,201617,LA maintained mainstream schools,All state-funded schools,All students,13887,39.87,Dist+,Revised,Applied general
2017,201617,Sponsored academies - mainstream,All state-funded schools,All students,11504,39.08,Dist+,Revised,Applied general
2017,201617,Studio schools,All state-funded schools,All students,389,35.83,Dist,Revised,Applied general
2017,201617,University technical colleges (UTCs),All state-funded schools,All students,501,36.43,Dist,Revised,Applied general
2017,201617,All state-funded schools and colleges,All state-funded,All students,122282,35.69,Dist,Revised,Applied general
2016,201516,All FE sector colleges,All FE sector colleges,All students,72416,32.6,Dist-,Revised,Applied general
2016,201516,Other FE sector colleges,All FE sector colleges,All students,52463,31.17,Dist-,Revised,Applied general
2016,201516,Sixth form colleges,All FE sector colleges,All students,19953,37.33,Dist+,Revised,Applied general
2016,201516,All independent schools,All independent schools,All students,1068,38.16,Dist+,Revised,Applied general
2016,201516,Independent schools,All independent schools,All students,1019,38.48,Dist+,Revised,Applied general
2016,201516,Independent special schools,All independent schools,All students,49,29.52,Merit+,Revised,Applied general
2016,201516,All schools,All schools,All students,54880,37.99,Dist+,Revised,Applied general
2016,201516,All schools and FE sector colleges,All Institutions,All students,125325,34.69,Dist,Revised,Applied general
2016,201516,All state-funded schools,All state-funded schools,All students,53810,37.99,Dist+,Revised,Applied general
2016,201516,Converter academies - mainstream,All state-funded schools,All students,23272,38.3,Dist+,Revised,Applied general
2016,201516,Free schools,All state-funded schools,All students,146,33.35,Dist,Revised,Applied general
2016,201516,Free schools 16-19,All state-funded schools,All students,355,32.49,Dist-,Revised,Applied general
2016,201516,LA maintained mainstream schools,All state-funded schools,All students,16541,38.5,Dist+,Revised,Applied general
2016,201516,Sponsored academies - mainstream,All state-funded schools,All students,12331,37.22,Dist+,Revised,Applied general
2016,201516,Studio schools,All state-funded schools,All students,378,32.43,Dist-,Revised,Applied general
2016,201516,University technical colleges (UTCs),All state-funded schools,All students,400,32.32,Dist-,Revised,Applied general
2016,201516,All state-funded schools and colleges,All state-funded,All students,124269,34.66,Dist,Revised,Applied general
2022,202122,All FE sector colleges,All FE sector colleges,All students,19104,29.1017,Merit+,Revised,Tech level
2022,202122,All independent schools,All independent schools,All students,180,34.7885,Dist,Revised,Tech level
2022,202122,All schools,All schools,All students,9432,34.8179,Dist,Revised,Tech level
2022,202122,All schools and FE sector colleges,All Institutions,All students,28535,30.558,Dist-,Revised,Tech level
2022,202122,All state-funded schools,All state-funded schools,All students,9247,34.8227,Dist,Revised,Tech level
2022,202122,All state-funded schools and colleges,All state-funded,All students,28350,30.5439,Dist-,Revised,Tech level
2022,202122,Converter academies - mainstream,All state-funded schools,All students,4296,36.167,Dist,Revised,Tech level
2022,202122,Free schools,All state-funded schools,All students,131,38.224,Dist+,Revised,Tech level
2022,202122,Free schools 16-19,All state-funded schools,All students,204,33.2651,Dist-,Revised,Tech level
2022,202122,Independent schools,All independent schools,All students,176,35.094,Dist,Revised,Tech level
2022,202122,Independent special schools,All independent schools,All students,4,19.4444,Pass+,Revised,Tech level
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,1472,35.0126,Dist,Revised,Tech level
2022,202122,Other FE sector colleges,All FE sector colleges,All students,17470,28.6533,Merit+,Revised,Tech level
2022,202122,Sixth form colleges,All FE sector colleges,All students,1634,35.1747,Dist,Revised,Tech level
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,1656,33.6049,Dist,Revised,Tech level
2022,202122,Studio schools,All state-funded schools,All students,141,30.2825,Dist-,Revised,Tech level
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,1327,32.8108,Dist-,Revised,Tech level
2021,202021,All FE sector colleges,All FE sector colleges,All students,12894,29.8712,Merit+,Final,Tech level
2021,202021,All independent schools,All independent schools,All students,121,37.0655,Dist+,Final,Tech level
2021,202021,All schools,All schools,All students,8172,35.7219,Dist,Final,Tech level
2021,202021,All schools and FE sector colleges,All Institutions,All students,20929,31.675,Dist-,Final,Tech level
2021,202021,All state-funded schools,All state-funded schools,All students,8050,35.7057,Dist,Final,Tech level
2021,202021,All state-funded schools and colleges,All state-funded,All students,20807,31.6543,Dist-,Final,Tech level
2021,202021,Converter academies - mainstream,All state-funded schools,All students,3754,37.0111,Dist+,Final,Tech level
2021,202021,Free schools,All state-funded schools,All students,90,38.0295,Dist+,Final,Tech level
2021,202021,Free schools 16-19,All state-funded schools,All students,70,34.0962,Dist,Final,Tech level
2021,202021,Independent schools,All independent schools,All students,121,37.0655,Dist+,Final,Tech level
2021,202021,Independent special schools,All independent schools,All students,0,z,z,Final,Tech level
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,1314,36.2423,Dist,Final,Tech level
2021,202021,Other FE sector colleges,All FE sector colleges,All students,12113,29.4008,Merit+,Final,Tech level
2021,202021,Sixth form colleges,All FE sector colleges,All students,781,38.4288,Dist+,Final,Tech level
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,1594,34.8979,Dist,Final,Tech level
2021,202021,Studio schools,All state-funded schools,All students,139,31.2041,Dist-,Final,Tech level
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,1080,33.0669,Dist-,Final,Tech level
2020,201920,All FE sector colleges,All FE sector colleges,All students,15107,27.894,Merit+,Final,Tech level
2020,201920,All independent schools,All independent schools,All students,85,32.6603,Dist-,Final,Tech level
2020,201920,All schools,All schools,All students,8216,34.5746,Dist,Final,Tech level
2020,201920,All schools and FE sector colleges,All Institutions,All students,22946,29.9294,Merit+,Final,Tech level
2020,201920,All state-funded schools,All state-funded schools,All students,8124,34.589,Dist,Final,Tech level
2020,201920,All state-funded schools and colleges,All state-funded,All students,22854,29.9224,Merit+,Final,Tech level
2020,201920,Converter academies - mainstream,All state-funded schools,All students,3796,35.6001,Dist,Final,Tech level
2020,201920,Free schools,All state-funded schools,All students,44,37.9231,Dist+,Final,Tech level
2020,201920,Free schools 16-19,All state-funded schools,All students,49,32.756,Dist-,Final,Tech level
2020,201920,Independent schools,All independent schools,All students,84,32.9327,Dist-,Final,Tech level
2020,201920,Independent special schools,All independent schools,All students,1,10,Pass-,Final,Tech level
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,1409,34.4109,Dist,Final,Tech level
2020,201920,Other FE sector colleges,All FE sector colleges,All students,14334,27.4988,Merit+,Final,Tech level
2020,201920,Sixth form colleges,All FE sector colleges,All students,773,35.9818,Dist,Final,Tech level
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,1521,34.5432,Dist,Final,Tech level
2020,201920,Studio schools,All state-funded schools,All students,154,31.458,Dist-,Final,Tech level
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,1135,32.4944,Dist-,Final,Tech level
2019,201819,All FE sector colleges,All FE sector colleges,All students,12417,26.9229,Merit+,Revised,Tech level
2019,201819,All independent schools,All independent schools,All students,51,30.6475,Dist-,Revised,Tech level
2019,201819,All schools,All schools,All students,7279,32.3065,Dist-,Revised,Tech level
2019,201819,All schools and FE sector colleges,All Institutions,All students,19485,28.6407,Merit+,Revised,Tech level
2019,201819,All state-funded schools,All state-funded schools,All students,7224,32.323,Dist-,Revised,Tech level
2019,201819,All state-funded schools and colleges,All state-funded,All students,19431,28.6388,Merit+,Revised,Tech level
2019,201819,Converter academies - mainstream,All state-funded schools,All students,3241,33.1711,Dist-,Revised,Tech level
2019,201819,Free schools,All state-funded schools,All students,37,37.0093,Dist+,Revised,Tech level
2019,201819,Free schools 16-19,All state-funded schools,All students,33,30.2679,Dist-,Revised,Tech level
2019,201819,Independent schools,All independent schools,All students,50,31.3235,Dist-,Revised,Tech level
2019,201819,Independent special schools,All independent schools,All students,1,0,U,Revised,Tech level
2019,201819,LA maintained mainstream schools,All state-funded schools,All students,1320,32.0606,Dist-,Revised,Tech level
2019,201819,Other FE sector colleges,All FE sector colleges,All students,11708,26.4757,Merit,Revised,Tech level
2019,201819,Sixth form colleges,All FE sector colleges,All students,709,34.4642,Dist,Revised,Tech level
2019,201819,Sponsored academies - mainstream,All state-funded schools,All students,1500,31.2963,Dist-,Revised,Tech level
2019,201819,Studio schools,All state-funded schools,All students,159,30.4247,Dist-,Revised,Tech level
2019,201819,University technical colleges (UTCs),All state-funded schools,All students,920,31.4507,Dist-,Revised,Tech level
2018,201718,All FE sector colleges,All FE sector colleges,All students,7017,25.5958,Merit,Revised,Tech level
2018,201718,All independent schools,All independent schools,All students,29,24.9038,Merit,Revised,Tech level
