year,time_period,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps,aps_grade,version,cert_type
2020,201920,Converter academies - mainstream,All state-funded schools,All students,30574,32.57,Dist-,Final,Applied general
2020,201920,Free schools,All state-funded schools,All students,223,32.16,Dist-,Final,Applied general
2020,201920,Free schools 16-19,All state-funded schools,All students,480,31.9,Dist-,Final,Applied general
2020,201920,Independent schools,All independent schools,All students,1526,33.31,Dist-,Final,Applied general
2020,201920,Independent special schools,All independent schools,All students,19,23.9,Merit,Final,Applied general
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,10188,32.49,Dist-,Final,Applied general
2020,201920,Other FE sector colleges,All FE sector colleges,All students,18888,27.33,Merit+,Final,Applied general
2020,201920,Sixth form colleges,All FE sector colleges,All students,7366,31.48,Dist-,Final,Applied general
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,10065,33.58,Dist,Final,Applied general
2020,201920,Studio schools,All state-funded schools,All students,320,31.9,Dist-,Final,Applied general
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,701,30.87,Dist-,Final,Applied general
2020,201920,All FE sector colleges,All FE sector colleges,All students,15107,27.89,Merit+,Final,Tech level
2020,201920,All independent schools,All independent schools,All students,85,32.66,Dist-,Final,Tech level
2020,201920,All schools,All schools,All students,8216,34.57,Dist,Final,Tech level
2020,201920,All institutions,All Institutions,All students,22946,29.93,Merit+,Final,Tech level
2020,201920,All state-funded schools,All state-funded schools,All students,8124,34.59,Dist,Final,Tech level
2020,201920,All state-funded,All state-funded,All students,22854,29.92,Merit+,Final,Tech level
2020,201920,Converter academies - mainstream,All state-funded schools,All students,3796,35.6,Dist,Final,Tech level
2020,201920,Free schools,All state-funded schools,All students,44,37.92,Dist+,Final,Tech level
2020,201920,Free schools 16-19,All state-funded schools,All students,49,32.76,Dist-,Final,Tech level
2020,201920,Independent schools,All independent schools,All students,84,32.93,Dist-,Final,Tech level
2020,201920,Independent special schools,All independent schools,All students,1,10,Pass-,Final,Tech level
2020,201920,LA maintained mainstream schools,All state-funded schools,All students,1409,34.41,Dist,Final,Tech level
2020,201920,Other FE sector colleges,All FE sector colleges,All students,14334,27.5,Merit+,Final,Tech level
2020,201920,Sixth form colleges,All FE sector colleges,All students,773,35.98,Dist,Final,Tech level
2020,201920,Sponsored academies - mainstream,All state-funded schools,All students,1521,34.54,Dist,Final,Tech level
2020,201920,Studio schools,All state-funded schools,All students,154,31.46,Dist-,Final,Tech level
2020,201920,University technical colleges (UTCs),All state-funded schools,All students,1135,32.49,Dist-,Final,Tech level
2021,202021,All FE sector colleges,All FE sector colleges,All students,54161,38.6,B,Final,A level
2021,202021,All independent schools,All independent schools,All students,34623,49.4,A,Final,A level
2021,202021,All schools,All schools,All students,217999,42.38,B+,Final,A level
2021,202021,All institutions,All Institutions,All students,271471,41.66,B,Final,A level
2021,202021,All state-funded schools,All state-funded schools,All students,183343,40.97,B,Final,A level
2021,202021,All state-funded,All state-funded,All students,236927,40.46,B,Final,A level
2021,202021,Converter academies - mainstream,All state-funded schools,All students,125536,41.34,B,Final,A level
2021,202021,Free schools,All state-funded schools,All students,2628,40.77,B,Final,A level
2021,202021,Free schools 16-19,All state-funded schools,All students,4149,42.61,B+,Final,A level
2021,202021,Independent schools,All independent schools,All students,34578,49.41,A,Final,A level
2021,202021,Independent special schools,All independent schools,All students,45,36.54,B-,Final,A level
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,31327,40.65,B,Final,A level
2021,202021,Other FE sector colleges,All FE sector colleges,All students,20390,37.08,B-,Final,A level
2021,202021,Sixth form colleges,All FE sector colleges,All students,33771,39.51,B,Final,A level
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,17761,38.56,B,Final,A level
2021,202021,Studio schools,All state-funded schools,All students,255,37.91,B-,Final,A level
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,1261,36.04,B-,Final,A level
2021,202021,All FE sector colleges,All FE sector colleges,All students,30167,30.08,Dist-,Final,Applied general
2021,202021,All independent schools,All independent schools,All students,1940,35.8,Dist,Final,Applied general
2021,202021,All schools,All schools,All students,60116,34.19,Dist,Final,Applied general
2021,202021,All institutions,All Institutions,All students,89784,32.69,Dist-,Final,Applied general
2021,202021,All state-funded schools,All state-funded schools,All students,58167,34.14,Dist,Final,Applied general
2021,202021,All state-funded,All state-funded,All students,87850,32.63,Dist-,Final,Applied general
2021,202021,Converter academies - mainstream,All state-funded schools,All students,34112,34.27,Dist,Final,Applied general
2021,202021,Free schools,All state-funded schools,All students,392,33.56,Dist,Final,Applied general
2021,202021,Free schools 16-19,All state-funded schools,All students,831,35.58,Dist,Final,Applied general
2021,202021,Independent schools,All independent schools,All students,1927,35.81,Dist,Final,Applied general
2021,202021,Independent special schools,All independent schools,All students,13,33.46,Dist,Final,Applied general
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,10789,33.89,Dist,Final,Applied general
2021,202021,Other FE sector colleges,All FE sector colleges,All students,21466,29.16,Merit+,Final,Applied general
2021,202021,Sixth form colleges,All FE sector colleges,All students,8701,33.47,Dist,Final,Applied general
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,10718,34.11,Dist,Final,Applied general
2021,202021,Studio schools,All state-funded schools,All students,333,31.63,Dist-,Final,Applied general
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,861,32.61,Dist-,Final,Applied general
2021,202021,All FE sector colleges,All FE sector colleges,All students,12894,29.87,Merit+,Final,Tech level
2021,202021,All independent schools,All independent schools,All students,121,37.07,Dist+,Final,Tech level
2021,202021,All schools,All schools,All students,8172,35.72,Dist,Final,Tech level
2021,202021,All institutions,All Institutions,All students,20929,31.68,Dist-,Final,Tech level
2021,202021,All state-funded schools,All state-funded schools,All students,8050,35.71,Dist,Final,Tech level
2021,202021,All state-funded,All state-funded,All students,20807,31.65,Dist-,Final,Tech level
2021,202021,Converter academies - mainstream,All state-funded schools,All students,3754,37.01,Dist+,Final,Tech level
2021,202021,Free schools,All state-funded schools,All students,90,38.03,Dist+,Final,Tech level
2021,202021,Free schools 16-19,All state-funded schools,All students,70,34.1,Dist,Final,Tech level
2021,202021,Independent schools,All independent schools,All students,121,37.07,Dist+,Final,Tech level
2021,202021,Independent special schools,All independent schools,All students,0,NA,z,Final,Tech level
2021,202021,LA maintained mainstream schools,All state-funded schools,All students,1314,36.24,Dist,Final,Tech level
2021,202021,Other FE sector colleges,All FE sector colleges,All students,12113,29.4,Merit+,Final,Tech level
2021,202021,Sixth form colleges,All FE sector colleges,All students,781,38.43,Dist+,Final,Tech level
2021,202021,Sponsored academies - mainstream,All state-funded schools,All students,1594,34.9,Dist,Final,Tech level
2021,202021,Studio schools,All state-funded schools,All students,139,31.2,Dist-,Final,Tech level
2021,202021,University technical colleges (UTCs),All state-funded schools,All students,1080,33.07,Dist-,Final,Tech level
2022,202122,All FE sector colleges,All FE sector colleges,All students,54465,36.29,B-,Revised,A level
2022,202122,All independent schools,All independent schools,All students,34618,45.61,A-,Revised,A level
2022,202122,All schools,All schools,All students,229915,39.46,B,Revised,A level
2022,202122,All institutions,All Institutions,All students,284380,38.87,B,Revised,A level
2022,202122,All state-funded schools,All state-funded schools,All students,195258,38.28,B-,Revised,A level
2022,202122,All state-funded,All state-funded,All students,249723,37.86,B-,Revised,A level
2022,202122,Converter academies - mainstream,All state-funded schools,All students,134454,39.06,B,Revised,A level
2022,202122,Free schools,All state-funded schools,All students,3021,35.42,B-,Revised,A level
2022,202122,Free schools 16-19,All state-funded schools,All students,5139,40.01,B,Revised,A level
2022,202122,Independent schools,All independent schools,All students,34552,45.62,A-,Revised,A level
2022,202122,Independent special schools,All independent schools,All students,66,30.37,C,Revised,A level
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,31346,37.62,B-,Revised,A level
2022,202122,Other FE sector colleges,All FE sector colleges,All students,21374,33.37,C+,Revised,A level
2022,202122,Sixth form colleges,All FE sector colleges,All students,33091,38.19,B-,Revised,A level
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,19127,34.05,C+,Revised,A level
2022,202122,Studio schools,All state-funded schools,All students,286,30.13,C,Revised,A level
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,1467,27.8,C-,Revised,A level
