year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2020,201920,Free schools 16-19,State-funded schools,Female,1827,41.4719,B,Provisional,Alevel
2020,201920,Independent schools,Independent schools,Female,17622,47.3913,A-,Provisional,Alevel
2020,201920,Independent special schools,Independent schools,Female,7,42.7273,B+,Provisional,Alevel
2020,201920,LA maintained mainstream schools,State-funded schools,Female,17807,39.3147,B,Provisional,Alevel
2020,201920,Other FE sector colleges,FE sector colleges,Female,14195,34.8011,C+,Provisional,Alevel
2020,201920,Sixth form colleges,FE sector colleges,Female,20071,39.1414,B,Provisional,Alevel
2020,201920,Sponsored academies - mainstream,State-funded schools,Female,10174,36.9905,B-,Provisional,Alevel
2020,201920,Studio schools,State-funded schools,Female,140,39.2308,B,Provisional,Alevel
2020,201920,University Technical Colleges (UTCs),State-funded schools,Female,351,34.4081,C+,Provisional,Alevel
2020,201920,All FE sector colleges,FE sector colleges,Male,23697,35.4471,B-,Provisional,Alevel
2020,201920,All independent schools,Independent schools,Male,17203,45.3796,A-,Provisional,Alevel
2020,201920,All schools,All schools,Male,98064,39.3276,B,Provisional,Alevel
2020,201920,All schools and FE sector colleges,All Institutions,Male,121086,38.6311,B,Provisional,Alevel
2020,201920,All state-funded schools,State-funded schools,Male,80842,37.9805,B-,Provisional,Alevel
2020,201920,All state-funded schools and colleges,All state-funded,Male,103957,37.4539,B-,Provisional,Alevel
2020,201920,Converter academies - mainstream,State-funded schools,Male,55326,38.4983,B,Provisional,Alevel
2020,201920,Free schools,State-funded schools,Male,920,35.676,B-,Provisional,Alevel
2020,201920,Free schools 16-19,State-funded schools,Male,1389,40.6693,B,Provisional,Alevel
2020,201920,Independent schools,Independent schools,Male,17160,45.3928,A-,Provisional,Alevel
2020,201920,Independent special schools,Independent schools,Male,43,35.8333,B-,Provisional,Alevel
2020,201920,LA maintained mainstream schools,State-funded schools,Male,14137,37.4814,B-,Provisional,Alevel
2020,201920,Other FE sector colleges,FE sector colleges,Male,9109,32.861,C+,Provisional,Alevel
2020,201920,Sixth form colleges,FE sector colleges,Male,14588,36.9547,B-,Provisional,Alevel
2020,201920,Sponsored academies - mainstream,State-funded schools,Male,7929,35.0113,B-,Provisional,Alevel
2020,201920,Studio schools,State-funded schools,Male,131,33.6028,C+,Provisional,Alevel
2020,201920,University Technical Colleges (UTCs),State-funded schools,Male,834,33.0651,C+,Provisional,Alevel
2019,201819,All FE sector colleges,FE sector colleges,All students,66025,31.5806,C,Provisional,Alevel
2019,201819,All independent schools,Independent schools,All students,36670,40.9235,B,Provisional,Alevel
2019,201819,All schools,All schools,All students,228647,34.2785,C+,Provisional,Alevel
2019,201819,All schools and FE sector colleges,All Institutions,All students,289623,33.7653,C+,Provisional,Alevel
2019,201819,All state-funded schools,State-funded schools,All students,191936,32.8988,C+,Provisional,Alevel
2019,201819,All state-funded schools and colleges,All state-funded,All students,253225,32.636,C+,Provisional,Alevel
2019,201819,Converter academies - mainstream,State-funded schools,All students,127246,33.7836,C+,Provisional,Alevel
2019,201819,Free schools,State-funded schools,All students,1516,29.5682,C,Provisional,Alevel
2019,201819,Free schools 16-19,State-funded schools,All students,3012,37.5736,B-,Provisional,Alevel
2019,201819,Independent schools,Independent schools,All students,36602,40.9405,B,Provisional,Alevel
2019,201819,Independent special schools,Independent schools,All students,68,25.1351,C-,Provisional,Alevel
2019,201819,LA maintained mainstream schools,State-funded schools,All students,37893,32.0619,C+,Provisional,Alevel
2019,201819,Other FE sector colleges,FE sector colleges,All students,25143,28.1229,C-,Provisional,Alevel
2019,201819,Sixth form colleges,FE sector colleges,All students,40882,33.5725,C+,Provisional,Alevel
2019,201819,Sponsored academies - mainstream,State-funded schools,All students,20172,28.19,C-,Provisional,Alevel
2019,201819,Studio schools,State-funded schools,All students,354,25.3853,C-,Provisional,Alevel
2019,201819,University Technical Colleges (UTCs),State-funded schools,All students,1297,22.9089,D+,Provisional,Alevel
2019,201819,All FE sector colleges,FE sector colleges,Female,38624,32.1905,C+,Provisional,Alevel
